,fluxes
rxn05322_c1,-0.07149321585463655
rxn10966_c2,-0.0007131831221121865
rxn03164_c4,0.014298643170927324
rxn14207_c1,-0.017116394928583727
rxn00527_c1,0.0014263662440486442
rxn05469_c4,-1.3175022687830227
rxn05148_c6,0.0007131831220243218
rxn09001_c2,0.0007131831220243217
rxn00970_c6,-0.0007131831220243216
rxn06723_c6,-0.028597286341854652
rxn05295_c4,0.08520832989757919
rxn03408_c3,0.014298643170927326
rxn03146_c6,0.028597286341854652
rxn08995_c1,1.764110600594615
rxn03893_c6,0.0007131831220243215
rxn05318_c4,0.048970502090927924
rxn02405_c6,0.028597286341854652
rxn03150_c6,0.0007131831220243217
rxn05029_c6,0.0007131831220243218
rxn03538_c6,0.0007131831220243218
rxn12225_c1,0.0003565915610121609
rxn03901_c4,0.014298643170927324
rxn26127_c4,0.03622613462586138
rxn01213_c6,0.01643819253700029
rxn10052_c4,-0.057014639624566335
rxn00461_c6,0.014298643170927326
rxn00762_c1,-0.08503895447485532
rxn03239_c3,0.07149321585463661
rxn00690_c6,0.0007131831220243218
rxn06865_c6,-0.014298643170927326
rxn02396_c1,0.0014263662440486442
rxn03393_c6,0.0007131831220243214
rxn00114_c4,0.10612970573256196
rxn01265_c6,-0.002139549366071647
rxn03040_c1,0.0014263662440486438
rxn00003_c1,-0.151531763961113
rxn02366_c1,0.001426366244048644
rxn03055_c1,0.0014263662440486438
rxn01944_c1,0.0014263662440486442
rxn01202_c1,0.0014263662440486438
rxn10626_c1,0.0014263662440486438
rxn02884_c1,0.0014263662440486438
rxn02882_c1,0.0014263662440486438
rxn24966_c1,0.001426366244048644
EX_cpd00355_e0,-1.7676765162047694
EX_cpd10515_e0,-0.008558197464291858
rxn00679_c2,-0.9509422980932947
rxn00182_c2,0.8705309556963169
rxn48583_c3,5.168651569319967
rxn08528_c1,0.0007131831220243218
rxn09043_c5,0.0007131831220243219
rxn01504_c4,-1.7478457304890587
rxn01548_c1,0.034734030130540765
rxn09341_c5,-0.05719457268370928
rxn00770_c4,-29.909183809649637
rxn09041_c5,0.0007131831220243219
rxn01917_c1,0.1068428888545863
rxn05687_c5,0.0007131831220243218
rxn08527_c1,0.004992281854170252
rxn08475_c3,-0.0014263662440486431
rxn08173_c3,3.2745230025269176
rxn09532_c5,-0.0007131831220243217
rxn00288_c2,0.9453292983322095
rxn01644_c4,0.1370949272405523
rxn00175_c4,27.463464312959182
EX_cpd00118_e0,-0.004279098732145913
rxn03395_c5,0.000713183122024322
rxn08233_c5,0.0003565915610121608
bio6,0.4457281235193763
EX_cpd00063_e0,-0.004279098732145931
EX_cpd00215_e0,-0.00427909873214593
EX_cpd00264_e0,-0.004279098732145932
EX_cpd00007_e0,-0.000713183122024322
EX_cpd00322_e0,-0.2080448744143727
rxn00175_c2,1.159817604879568
EX_cpd00048_e0,1.1533649695356627
rxn01484_c3,-0.06420846590624829
rxn00686_c2,-0.004941296228975345
rxn01961_c3,0.057727822746584084
rxn09232_c2,0.002801746862902371
rxn06729_c5,0.028597286341854645
rxn09532_c1,-0.0007131831220243217
rxn14120_c1,-0.0021395493660729646
rxn05289_c2,-0.0007131831221121865
rxn01520_c2,0.0028017468629023714
rxn10054_c1,-0.11075196583781578
rxn03395_c2,0.0007131831220243223
rxn02476_c3,0.001426366244048626
rxn00134_c1,0.06660651667026415
rxn00533_c3,0.08844477439588641
rxn05544_c2,0.16149339699016224
EX_cpd15605_e0,-0.5123073003824242
EX_cpd00393_e0,-0.01283729619643781
rxn00914_c2,0.057727822746590655
EX_cpd00065_e0,-0.6766774013064814
rxn00959_c5,0.000713183122024322
EX_cpd11590_e0,-1.7011944548084672
EX_cpd11583_e0,-2.716806112430033
EX_cpd11584_e0,-0.9936411029463909
rxn01505_c1,0.057194572683709304
rxn03239_c2,0.07149321585463661
rxn01669_c1,1.7626842343505795
EX_cpd00220_e0,-0.008558197464291806
rxn08352_c1,0.016438192537000292
rxn06777_c2,0.014298643170927328
rxn12850_c2,0.12195609276305197
rxn12666_c4,0.0007131831220243217
rxn12933_c4,-0.014298643170927328
rxn05338_c1,-0.07149321585463662
rxn05308_c4,0.0014263662440487847
rxn00867_c5,0.7890444861189976
rxn12643_c6,0.16149339699016227
rxn01508_c2,0.002801746862902371
rxn03437_c2,0.10402243720718633
rxn03147_c1,0.14214578867791117
rxn08527_c3,0.5136681134720166
rxn08528_c3,0.0014263662440486265
rxn05337_c1,-0.07149321585463655
rxn02895_c2,0.015109793326288354
rxn03146_c5,0.02859728634185465
rxn01870_c3,-0.037099271820242995
rxn01100_c6,-0.022648741994726062
rxn03893_c5,0.000713183122024322
rxn01353_c3,0.0028017468629023714
rxn01333_c5,-0.3910717699009603
rxn03908_c6,0.1744014698087843
rxn05569_c2,0.1244719606966569
rxn00649_c2,0.030618897710223133
rxn01643_c5,-0.5715353005130925
rxn01200_c6,0.38554905363147085
rxn05457_c4,-0.05719457268370928
rxn01116_c4,-0.020491223805285348
rxn00747_c5,0.8093551546982743
rxn08934_c4,0.03622613462586138
rxn05316_c2,0.06584259851086786
rxn00060_c2,0.0007131831220243218
rxn00029_c5,0.0028527324880972867
rxn03241_c6,-0.014298643170927333
rxn00100_c2,0.0007131831220243282
rxn00172_c4,-30.35517308415911
rxn02175_c5,0.0007131831220246082
rxn08231_c3,-0.0331667903984574
rxn12643_c3,0.1614933969901622
rxn05488_c4,-2.337626026851103
rxn08557_c1,0.004279098732145931
rxn01116_c1,0.8672746725528112
rxn05559_c4,0.0007131831220243217
rxn05195_c4,0.0007131831220243216
rxn03159_c3,0.014298643170927324
rxn09113_c1,0.03316679039845741
rxn05467_c4,-0.14319715725045398
rxn08428_c4,1.2068488577194967
rxn08032_c4,-0.13575090858270258
rxn01138_c1,-0.11129792002906069
rxn05465_c1,1.1222188471239833
rxn01300_c3,0.09080411645710171
rxn00949_c6,0.10402243720718633
rxn06023_c1,0.0007131831220243218
rxn01674_c6,-0.0028017468629023714
rxn05457_c3,-0.05719457268370928
rxn01333_c6,-0.38554905363147085
rxn00105_c6,0.0014263662440473256
rxn01870_c1,-0.09609455127434112
rxn00113_c1,0.3699369505111581
rxn08291_c6,-0.028597286341854652
rxn00832_c1,-0.1421457886779112
rxn05212_c3,0.0007131831220243218
rxn00940_c4,-29.91132335901571
rxn00941_c4,29.91132335901571
rxn05315_c6,-0.0007131831220243218
rxn00929_c4,-0.03775581481470261
rxn13846_c4,-0.0571945726837093
rxn13647_c6,-0.16902311279967053
rxn06729_c4,0.028597286341854645
rxn08942_c4,-0.03622613462586138
rxn01143_c4,0.0028017468629023714
rxn00260_c4,-0.5082511347550791
rxn00239_c5,0.05844100586861498
rxn02803_c4,0.014298643170927328
rxn00461_c4,0.014298643170927326
rxn03130_c5,0.014298643170927324
rxn08043_c5,0.10402243720718633
rxn02155_c2,-35.14804468905194
rxn03005_c1,0.14806667286264216
rxn12847_c4,0.05262861679264591
