,fluxes,fluxes,fluxes
rxn03130_c2,0.014298643170927447,0.014298643170927446,0.014298643170927315
rxn06729_c2,0.02859728634185489,0.02859728634185489,0.02859728634185463
rxn01575_c3,-0.1040224372071872,-0.10402243720718721,-0.10402243720718624
rxn05466_c1,1.9167620701234582,1.3327462730309125,1.2548199616496527
rxn03240_c3,-0.07149321585463722,-0.07149321585463722,-0.07149321585463658
rxn00085_c4,0.09113794273731057,0.07399887794613849,0.0739988779461393
rxn00555_c3,0.1949020845542478,0.04647847861821559,
rxn03435_c3,-0.1040224372071872,-0.1040224372071872,-0.10402243720718625
rxn00119_c4,-0.16069955577448633,-0.23418439433245658,-0.27951270910035997
rxn00239_c2,0.061242752731517844,0.06124275273151786,0.06124275273151729
rxn01466_c4,0.016438192537000428,0.016438192537000428,0.01643819253700028
rxn02465_c2,-0.10612970573256285,-0.10612970573256283,-0.10612970573256188
rxn03904_c5,0.014298643170927447,0.014298643170927446,0.014298643170927315
rxn10199_c5,0.014298643170927444,0.014298643170927444,0.014298643170927317
rxn00409_c5,0.2444193964856819,0.2444193964856818,0.24441939648567962
rxn05295_c5,0.08520832989757991,0.08520832989757993,0.08520832989757914
rxn05595_c1,0.0007131831220243275,0.0007131831220243278,0.0007131831220243211
rxn05312_c1,-1.4694978478941108,-1.4694978478940532,-1.4694978478939307
rxn05348_c1,0.07149321585463558,0.07149321585463708,0.07149321585463655
rxn00105_c1,0.0014263662445531625,0.0014263662440430584,0.0014263662440460426
rxn03901_c5,0.014298643170927444,0.014298643170927444,0.014298643170927317
rxn10052_c5,0.0007131831220243275,0.0007131831220243278,0.0007131831220243212
rxn00946_c5,-0.08844477439588713,-0.08844477439588716,-0.08844477439588642
rxn13846_c3,-0.05719457268370979,-0.05719457268370978,-0.05719457268370926
rxn01358_c2,0.024485251045466578,0.05334916241875866,0.053349162418752476
rxn01265_c1,1.7619710512289408,1.7619710512288218,1.7619710512286597
rxn01204_c6,0.0014263662440486549,0.0014263662440486553,0.001426366244048643
rxn00834_c1,0.11545564549318223,0.11545564549318224,0.1154556454931812
rxn12225_c3,0.00035659156101216377,0.00035659156101216393,0.0003565915610121603
rxn04455_c5,-0.001426366244048655,-0.0014263662440486505,-0.001426366244048643
