,id,WD-ABX_1.5,WD-ABX_4.0,WD-ABX_6.0,WD-ABX_12.5
0,max_growth,4.076513915997441,3.9450997665786325,4.429454011925535,4.580475562797005
1,carbon_uptake,202.29557787169563,211.8454395133029,216.40026999125033,210.58336256228634
2,flux fitting objective,,,,
3,minimum probability objective,1051.365036825255,1016.4163840344237,1190.1733039990747,450.87681333538444
4,rxn02201_c1,0.0,0.0,0.0,0.0
5,rxn00836_c1,0.0,0.0,0.0,0.0
6,rxn00423_c1,0.0,0.0,0.0,0.0
7,rxn10298_c1,0.0,0.0,0.0,0.0
8,rxn00364_c1,0.028818595278759167,0.02830522141489023,0.030196885153865594,0.007106368076403816
9,rxn03408_c1,0.009040936785698561,0.00887988172365361,0.00947333231062514,0.002229401673926401
10,rxn02177_c1,0.0,0.0,0.0,0.0
11,rxn05250_c1,0.0,0.0,0.0,0.0
12,rxn05440_c1,0.0,0.0,0.0,0.0
13,rxn05625_c1,-0.007691724662907046,-0.3207895894231134,-0.7244051475672952,0.0
14,rxn02342_c1,0.0,0.0,0.0,0.0
15,rxn00022_c1,0.0,0.0,0.0,0.0
16,rxn10297_c1,0.0,0.0,0.0,0.0
17,rxn02000_c1,0.0,0.0,0.0,0.0
18,rxn02632_c1,0.0,0.0,0.0,0.0
19,rxn05457_c1,-0.1755684273542264,-0.17295930582137498,0.0,-0.2635203874793518
20,rxn08934_c1,0.0,0.0,0.0,0.0
21,rxn00199_c1,0.0,0.0,0.0,0.0
22,rxn01358_c1,0.0,0.0,0.0,0.0
23,rxn03086_c1,-0.09430583353075589,-0.07113034603805357,-0.20213359564151895,-0.002229401673926401
24,rxn12637_c1,0.0,0.0,0.0,0.0
25,rxn01219_c1,0.0,0.0,0.0,0.0
26,rxn05958_c1,0.0,0.0,0.0,0.0
27,rxn00800_c1,0.0,0.0,0.0,0.0
28,rxn08333_c1,0.04008471413849204,0.03937064586485462,0.0420018220026752,0.009884476677303803
29,rxn01705_c1,-0.028818595278759167,-0.02830522141489023,-0.25489787924202145,-0.1148913991410436
30,rxn09177_c1,0.0,0.0,0.0,0.0
31,rxn00211_c1,0.0,0.0,0.0,0.0
32,rxn00179_c1,0.0,0.0,0.0,0.0
33,rxn01210_c1,0.0,0.0,0.0,0.0
34,rxn00192_c1,0.0,0.0,0.0,0.0
35,rxn01218_c1,0.0,0.0,0.0,0.0
36,rxn02898_c1,0.04008471413849204,0.03937064586485462,0.0420018220026752,0.009884476677303803
37,rxn01199_c1,0.0,0.0,0.0,0.0
38,rxn00545_c1,4.772647867229086,4.7240045704548095,3.137988291666168,0.27757764800518947
39,rxn08807_c1,0.0,0.0,0.0,0.0
40,rxn05614_c1,0.0,0.0,0.0,0.0
