,cpd35610,cpd01242,cpd01293,cpd00035,cpd01055,cpd00224,cpd00132,cpd00041,cpd00158,cpd00526,cpd00137,cpd00084,cpd01107,cpd02733,cpd01741,cpd01171,cpd00082,cpd00751,cpd00106,cpd00108,cpd00027,cpd00023,cpd00033,cpd01113,cpd00119,cpd00359,cpd00322,cpd00107,cpd01122,cpd02475,cpd00039,cpd00130,cpd03198,cpd00060,cpd03847,cpd00122,cpd00218,cpd03846,cpd00064,cpd00214,cpd00066,cpd07053,cpd00129,cpd00020,cpd00382,cpd00396,cpd00105,cpd00550,cpd00036,cpd00076,cpd00161,cpd00069,cpd04945,cpd00597,cpd00156,cpd00024,cpd00536,cpd00392,cpd00121,cpd00851,cpd00029,cpd00211,cpd00141
cpd00119,,-0.158868200877645,-0.19161672273431196,-0.11886417142880265,,-0.19864442028553048,0.09885927455562138,0.04647908927006448,-0.05079623554035795,,-0.13890327608659797,-0.229071535346263,0.2197707586072973,,0.19428071841310798,0.18692511001562678,0.05218554059873674,0.08311376683267734,0.04088374942908061,-0.14109354858302228,0.08106776440656416,0.3612505245996395,-0.04823449171627865,,1.0,,0.6975087333807419,,,,,0.041207246914010065,-0.04642392348814101,0.615136085386511,0.239654436474169,-0.11974588102819958,,-0.02360107808321805,0.5017297963333518,-0.01956852827835008,,,0.3706324111596127,-0.052677260303395694,-0.10123830935619291,-0.17643120651250582,-0.011111606406937235,-0.22212376260792407,-0.040579063193087135,-0.04818472086558472,0.29058443393467626,0.8107235045544431,,,0.4413196756514791,0.37629254475750873,,,,,-0.15052215941585348,,0.12292761986459726
cpd00359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd00322,,-0.03119119947971058,-0.14821504070952277,-0.07514907943192332,,-0.08976768888748478,0.028615811490707316,-0.01995973619041255,0.02870378886595998,,-0.17995211566840852,-0.13338406952346446,0.06871877201053371,,0.12695222842523238,0.2673772603814667,0.04270323167894678,0.1918023582150679,0.05355674078497189,-0.18946272879040554,0.09143083815768593,0.4699569565014099,-0.13267795093424176,,0.6975087333807419,,1.0,,,,,-0.031500309617831034,-0.004443370972574805,0.9875277478113635,0.19845709780508267,-0.01403828749500973,,-0.13998746885233335,0.37560252515941045,-0.0578061944267677,,,0.48807628769789063,-0.04575180828070171,-0.04334913740259385,-0.199904718650117,0.0058604399679378655,-0.15760701277171787,-0.023185075269518775,-0.022792154313639502,0.3870495946650485,0.9024568106685168,,,0.055832082938709546,0.45866025934712024,,,,,-0.2194147953735195,,0.3054391575792506
cpd00107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd01122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd02475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd00039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cpd00130,,0.9108201691113925,0.13315703614745314,0.9631201597186593,,0.9354108699516754,0.9945062484170406,0.9991009951974511,0.9625208283183746,,0.9601713060947448,0.932777256516427,0.564869796108387,,0.5014361183610591,0.45329477113017963,0.9830393313497625,0.24888871637007193,0.912412616312406,0.9565678928289093,0.9776403270680029,0.5016068533684155,0.9645992004608268,,0.041207246914010065,,-0.031500309617831034,,,,,1.0,0.9652965426567327,-0.04058832776634549,0.47279236423880033,0.9510943667717082,,0.5607365162747842,0.3793451536407129,0.8141516231607413,,,0.38408209216043465,0.9866771010857128,0.9622108989927898,0.926835030091858,0.9789020056142894,0.8791230374965384,0.8997540926005544,0.8467872461499684,0.39718441470056587,-0.0013615557504795522,,,-0.005656625827175899,0.5080793433447807,,,,,0.9187379486027808,,-0.06305632266891009
cpd03198,,0.9623337146030493,0.22056306509175813,0.9777094116162927,,0.9655123195586776,0.9551338263846543,0.9659864716223842,0.9871199102315279,,0.9413520144346943,0.9415224785666841,0.48924431440914734,,0.49741661600661846,0.5282139285631748,0.9584740440882349,0.39800496490585563,0.9569943863478301,0.950179627130648,0.9694124052117311,0.479809661363095,0.9621840497027456,,-0.04642392348814101,,-0.004443370972574805,,,,,0.9652965426567327,1.0,-0.006555983837620825,0.48504529258783513,0.9748386630274031,,0.38986340918095963,0.380872188357552,0.8670222419143989,,,0.42612393048895636,0.9769029989677975,0.9796667684800393,0.9552616497437381,0.9659383445974444,0.9217811338819485,0.9528874914839918,0.938340452945518,0.4944177816080772,0.014288668533274661,,,-0.18136656896819275,0.4822139771892744,,,,,0.9393819513827493,,-0.1489999588993875
cpd00060,,-0.005783433164412705,-0.1507723052767617,-0.06725815685524367,,-0.06462612003085101,0.022007780456859857,-0.026508020381629,0.037692408368744414,,-0.1855112609888829,-0.1061108316371718,0.028912938310193217,,0.08552570110852169,0.2311891303593295,0.04697134243183917,0.15852584305472375,0.046886001041596036,-0.1928211582253097,0.09109138662016233,0.4660914557261872,-0.15753566993788398,,0.615136085386511,,0.9875277478113635,,,,,-0.04058832776634549,-0.006555983837620825,1.0,0.1544074703495231,0.004213019304383024,,-0.13070139514456233,0.3229493004517205,-0.0902070856542607,,,0.47830399889325653,-0.041852489123272746,-0.030848485578711303,-0.20794134904086328,0.010519175578325664,-0.14307650383178358,-0.02844371187659304,-0.03988574196104161,0.3400529335385926,0.8241364100684202,,,0.010216069132093828,0.45121791339904527,,,,,-0.23385624567996743,,0.3999307626118298
